,Description,Previously Called,TYPE,Fiber Category,Resin Category,Sequence Assist,Auto-Sequence,PN Concatenation,PN+Description Concatenation,UOM,Width (in),Length (in),Arial Weight (gsm),Thickness (mm),$/Kg,Heat capcity (J/C),Suggested Process Temp (deg F),Manufacturer,Manufacturer PN (link to datasheet),Misc. Notes,Weld Notes:,Cut Notes:,Inventory Locations:
,ZRT PP Laminate--- 5-layer--- 36inch W x 36inch L,,30-LAMINATE,60-ZRT,03-PP,30-60-03-,1,30-60-03-001,30-60-03-001 - ZRT PP Laminate--- 5-layer--- 36inch W x 36inch L,ea,36,36,,,,,,RTPC,,,,,#N/A
,Woven Carbon fabric--- black Sigratex--- 40inch W,,10-FILM,10-CARBON,00-NO MATRIX,10-10-00-,1,10-10-00-001,10-10-00-001 - Woven Carbon fabric--- black Sigratex--- 40inch W,kg,40,0,,,,,,SGL Carbon,18CW200-TW2/2/100,,,,#N/A
,Woven Glass fabric--- white--- 5 mil thick--- 40inch W,,10-FILM,20-GLASS,00-NO MATRIX,10-20-00-,1,10-20-00-001,10-20-00-001 - Woven Glass fabric--- white--- 5 mil thick--- 40inch W,kg,40,0,,,,,,Dyneemo,,,,,#N/A
,Woven Glass PP fabric--- 2x2 twill--- black--- 40inch W,,10-FILM,20-GLASS,03-PP,10-20-03-,7,10-20-03-007,10-20-03-007 - Woven Glass PP fabric--- 2x2 twill--- black--- 40inch W,kg,40,0,,,,,,BGF Industries,Hyb 265 Rov,,,,#N/A
,Unidirectional Plant Fiber film--- 20inch W,,10-FILM,50-ORGANIC,00-NO MATRIX,10-50-00-,1,10-50-00-001,10-50-00-001 - Unidirectional Plant Fiber film--- 20inch W,kg,20,0,,,,,,Lingrove,D-UD3.2,,,,#N/A
,Clear matte TPU-Ether film--- 0.03inch thick--- 12inch W,,10-FILM,00-NO FIBER,41-TPU,10-00-41-,2,10-00-41-002,10-00-41-002 - Clear matte TPU-Ether film--- 0.03inch thick--- 12inch W,kg,12,0,,,,,,Wiman Corporation,ET-90090,,,,#N/A
,Clear matte TPU-Ester film--- 0.03inch thick--- 12inch W,,10-FILM,00-NO FIBER,41-TPU,10-00-41-,3,10-00-41-003,10-00-41-003 - Clear matte TPU-Ester film--- 0.03inch thick--- 12inch W,kg,12,0,,,,,,Wiman Corporation,ES-20085,,,,#N/A
,Vinyl film--- 0.01inch thick--- 54inch W,,10-FILM,00-NO FIBER,43-PVC,10-00-43-,1,10-00-43-001,10-00-43-001 - Vinyl film--- 0.01inch thick--- 54inch W,kg,54,0,,,,,,,,,,,#N/A
,Epoxy adhesive film--- matte natural--- 0.005inch thick--- 60inch W,,10-FILM,00-NO FIBER,44-LF610,10-00-44-,1,10-00-44-001,10-00-44-001 - Epoxy adhesive film--- matte natural--- 0.005inch thick--- 60inch W,kg,60,0,,,,,,DH Sutherland,146584,,,,#N/A
,HT800 Medium Silicone film--- 0.063inch thick--- 36inch W,,10-FILM,70-METAL--- TEFLON--- CONSUMABLES--- ETC,00-NO MATRIX,10-70-00-,2,10-70-00-002,10-70-00-002 - HT800 Medium Silicone film--- 0.063inch thick--- 36inch W,kg,36,0,,,,,,Marian Inc.,HT800-0063x3612,,,,#N/A
,Woven Carbon Tape--- 3K Dry--- 17.75inch W,,10-FILM,10-CARBON,00-NO MATRIX,10-10-00-,2,10-10-00-002,10-10-00-002 - Woven Carbon Tape--- 3K Dry--- 17.75inch W,kg,17.5,0,,,,,,Soller Composites,3K Carbon WOven Tape 17.75inch,,,,#N/A
,Cetex TC960 Carbon tape 45% 3.75inch W,,10-FILM,10-CARBON,21-PA6,10-10-21-,3,10-10-21-003,10-10-21-003 - Cetex TC960 Carbon tape 45% 3.75inch W,kg,3.75,0,,,,,,Toray,TC 910,,,,#N/A
,Cetex TC960 Carbon tape 45%  3.5inch W,,10-FILM,10-CARBON,21-PA6,10-10-21-,4,10-10-21-004,10-10-21-004 - Cetex TC960 Carbon tape 45%  3.5inch W,kg,3.5,0,,,,,,Toray,TC 910,,,,#N/A
,Lanxess PA6 Carbon 3k twill (1) layer 45%RC,,20-PLY,10-CARBON,21-PA6,20-10-21-,1,20-10-21-001,20-10-21-001 - Lanxess PA6 Carbon 3k twill (1) layer 45%RC,ea,30,26,200,.25,277,,,Lanxess,Optilite: 202-C200(1)/45% na 0---25mm,,Do not weld,Can cut on rotary cutter,#N/A
,Tafnex PP Carbon 22.5inch,,10-FILM,10-CARBON,03-PP,10-10-03-,5,10-10-03-005,10-10-03-005 - Tafnex PP Carbon 22.5inch,kg,22.5,0,209.6,0.16,52.91,,383,Mitsui Chemicals,TAFNEX™ CF-PP UD Tape Vf50%.,,,,#N/A
,Cetex TC 910 PA6 Carbon--- 131 gsm 40% RC 6.5inch W,,10-FILM,10-CARBON,21-PA6,10-10-21-,5,10-10-21-005,10-10-21-005 - Cetex TC 910 PA6 Carbon--- 131 gsm 40% RC 6.5inch W,kg,6.5,,232,0.16,28.6,,500,Toray,,,,,#N/A
,10' LNL ZRT,,10-FILM,60-ZRT,44-LF610,10-60-44-,1,10-60-44-001,10-60-44-001 - 10' LNL ZRT,kg,,,,,,,,,,,,,#N/A
,Ensinger Carbon 3k twill (TECATEC PA6 CF50 T200 IP)1200mm,,10-FILM,10-CARBON,21-PA6,10-10-21-,6,10-10-21-006,10-10-21-006 - Ensinger Carbon 3k twill (TECATEC PA6 CF50 T200 IP)1200mm,kg,47.24,0,327,0.22,105.75,,240,Ensinger,TECATEC_PA6_CF50_T200_CP-IP-OS_V01_natural-DS_0,,Do not weld,Can cut on rotary cutter,#N/A
,Ensinger Carbon 3k twill (TECATEC PA6 CF50 T200 IP)635mm,,10-FILM,10-CARBON,21-PA6,10-10-21-,7,10-10-21-007,10-10-21-007 - Ensinger Carbon 3k twill (TECATEC PA6 CF50 T200 IP)635mm,kg,25,0,327,0.22,105.75,,240,Ensinger,TECATEC_PA6_CF50_T200_CP-IP-OS_V01_natural-DS_0,,Do not weld,Can cut on rotary cutter,#N/A
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
